74DA38ED05FC	花蓮縣立大進國小	[976]花蓮縣光復鄉大進村糖廠街4號
74DA38ED04EC	花蓮縣立瑞穗國小	[978]花蓮縣瑞穗鄉溫泉路一段19號
74DA38ED05E8	花蓮縣立瑞北國小	[978]花蓮縣瑞穗鄉中正北路二段35號
74DA38ED05E6	花蓮縣立瑞美國小	[978]花蓮縣瑞穗鄉中山路二段389號
74DA38ED046A	花蓮縣立鶴岡國小	[978]花蓮縣瑞穗鄉鶴岡村167號
74DA38ED04EE	花蓮縣立舞鶴國小	[978]花蓮縣瑞穗鄉舞鶴村64號
74DA38ED04F8	花蓮縣立富源國小	[978]花蓮縣瑞穗鄉富源村30號
74DA38ED04F0	花蓮縣立豐濱國小	[977]花蓮縣豐濱鄉豐濱村民族街5號
74DA38ED04F2	花蓮縣立港口國小	[977]花蓮縣豐濱鄉港口村43號
74DA38ED05DE	花蓮縣立靜浦國小	[977]花蓮縣豐濱鄉靜浦村64號
74DA38ED05E0	花蓮縣立新社國小	[977]花蓮縣豐濱鄉新社村150號
74DA38ED05F8	花蓮縣立玉里國小	[981]花蓮縣玉里鎮忠智路43號
74DA38ED05E2	花蓮縣立中城國小	[981]花蓮縣玉里鎮中山路一段1號
74DA38ED05E4	花蓮縣立源城國小	[981]花蓮縣玉里鎮源城里水源62號
74DA38ED0460	花蓮縣立樂合國小	[981]花蓮縣玉里鎮樂合里新民41號
74DA38ED0462	花蓮縣立觀音國小	[981]花蓮縣玉里鎮觀音里16鄰9號
74DA38ED05EA	花蓮縣立高寮國小	[981]花蓮縣玉里鎮高寮92號
74DA38ED05FA	花蓮縣立松浦國小	[981]花蓮縣玉里鎮松浦里12鄰212號
74DA38ED0484	花蓮縣立春日國小	[981]花蓮縣玉里鎮春日里泰林95號
74DA38ED0442	花蓮縣立德武國小	[981]花蓮縣玉里鎮德武里9鄰171號
74DA38ED05B6	花蓮縣立三民國小	[981]花蓮縣玉里鎮三民里118號
